Feature	logAv	Group	logLDA	p
K02956	4.077047	CDI+	3.824463	0.036904
K02874	3.889717	CDI+	3.83684	0.036904
K02996	3.688152	CDI+	3.536592	0.036904
K02994	3.808194	CDI+	3.599141	0.036904
K02992	3.740005	CDI+	3.496929	0.036904
K02982	3.631928	CDI+	3.623746	0.036904
K02970	4.971733	CDI+	4.609187	0.046302
K02946	3.630605	CDI+	3.507092	0.036904
K02959	3.799127	CDI+	3.584803	0.036904
K02881	3.756082	CDI+	3.517889	0.036904
K02886	3.655351	CDI+	3.458838	0.036904
K02884	3.923527	CDI+	3.924978	0.036904
K02950	3.523285	CDI+	3.481004	0.036904
K02888	3.846884	CDI+	3.675471	0.036904
K02931	3.632358	CDI+	3.401103	0.036904
K02911	4.909922	CDI-	4.537181	0.049535
K02968	5.098259	CDI-	4.730874	0.049535
